latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-44.49872,171.10014,345.6,0.4,0.4,2017-04-27,0224,N,nominal,1.0NRT,293.5,3.9,D
-44.49466,171.10414,330.2,0.4,0.4,2017-04-27,0224,N,nominal,1.0NRT,293.3,4,D
-44.49536,171.09921,354.2,0.4,0.4,2017-04-27,0224,N,nominal,1.0NRT,297.3,12.8,D
-44.43296,171.19482,339.5,0.4,0.4,2017-04-27,0224,N,nominal,1.0NRT,292.1,3.7,D
-44.22114,171.2119,340.8,0.4,0.4,2017-04-27,0224,N,nominal,1.0NRT,294,4.5,D
-44.24947,170.93898,327.1,0.4,0.4,2017-04-27,0224,N,nominal,1.0NRT,289.4,2.3,D
-43.88461,171.45966,354.2,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,300.8,22.8,D
-43.82257,171.35881,348.1,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,297,11.7,D
-43.54461,172.1173,328.6,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,290.1,8.5,D
-43.54203,172.11156,344.6,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,295,8.5,D
-43.53549,171.6238,342.1,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,292.6,11.5,D
-43.3645,172.03497,329.8,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,287.1,8.5,D
-43.36523,172.03021,337.1,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,287.8,11.3,D
-43.38044,171.88547,335.2,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,292.2,2.8,D
-42.99755,172.8068,341.5,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,295,5.3,D
-42.99832,172.80203,338.8,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,293.5,3.6,D
-42.99422,172.8058,330.1,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,293.2,4.8,D
-42.99499,172.80106,338.7,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,293.6,5.7,D
-42.78436,172.97226,331.5,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,294.5,4.3,D
-42.66817,173.35466,336.6,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,295.6,3.6,D
-42.66481,173.35367,349.6,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,316.8,85,D
-42.66562,173.34892,342.4,0.4,0.4,2017-04-27,0230,N,nominal,1.0NRT,302.6,100.8,D
