latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-45.85007,168.47513,330.4,0.5,0.4,2017-04-22,0218,N,nominal,1.0NRT,288.3,2.9,D
-45.18359,169.34444,327.1,0.5,0.4,2017-04-22,0218,N,nominal,1.0NRT,289.6,3,D
-44.05647,171.73656,335.3,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,291.1,16.7,D
-44.05306,171.73569,353.4,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,299.9,16.7,D
-44.01774,171.86732,336.8,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,292.1,4.3,D
-43.88899,172.17159,346.4,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,292.3,7.7,D
-43.86003,172.12807,329.2,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,289.8,2.3,D
-43.86071,172.12311,325.9,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,289.8,2.3,D
-43.85397,171.94945,345,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,291.9,6.5,D
-43.78653,172.2088,336.4,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,294.3,8.2,D
-43.78316,172.2079,345.9,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,292.7,8.2,D
-43.85294,171.434,354.6,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,297.2,21,D
-43.76288,171.7735,327.1,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,290.6,2.8,D
-43.73823,171.56473,330.9,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,291.5,3.4,D
-43.54983,172.20656,345.5,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,291.7,8,D
-42.99576,172.80441,326.5,0.4,0.4,2017-04-22,0218,N,nominal,1.0NRT,291.1,2,D
-41.26826,175.48987,335.6,0.4,0.4,2017-04-22,0224,N,nominal,1.0NRT,291.4,2.9,D
-40.07661,175.2875,340.6,0.4,0.4,2017-04-22,0224,N,nominal,1.0NRT,292.3,4.2,D
-40.01788,175.31114,325.1,0.4,0.4,2017-04-22,0224,N,nominal,1.0NRT,291.4,1.8,D
-38.07395,175.57195,342.5,0.5,0.4,2017-04-22,0224,N,nominal,1.0NRT,292.4,7.2,D
-38.07677,175.57594,325.7,0.5,0.4,2017-04-22,0224,N,nominal,1.0NRT,291.6,2.4,D
-38.07322,175.57483,331.3,0.5,0.4,2017-04-22,0224,N,nominal,1.0NRT,293.8,8.5,D
-19.52956,169.44728,348.7,0.4,0.4,2017-04-22,0230,N,nominal,1.0NRT,292.9,9.5,D
-37.73042,148.60516,342.4,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,290.2,6.8,D
-37.731,148.58116,338.6,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,291.3,6.6,D
-37.72022,148.60217,357.5,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,292.4,7.3,D
-37.71599,148.60591,331.2,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,285.4,4.1,D
-37.7168,148.60126,351.7,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,291,4.8,D
-37.71259,148.60497,343.3,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,289.6,4.1,D
-37.71339,148.60034,326.3,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,289.9,4.8,D
-37.71655,148.58206,338.8,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,291.7,2.8,D
-37.70917,148.60405,355.4,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,293.3,11.2,D
-37.70494,148.6078,341.3,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,290.4,11.2,D
-37.70576,148.60313,344.1,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,290.4,11.2,D
-37.70153,148.60687,326.7,0.4,0.4,2017-04-22,0406,N,nominal,1.0NRT,287.8,2.6,D
